,Actual Low,Predicted Low,Actual High,Predicted High,Actual Avg Daily Temp,Predicted Actual Avg Daily Temp,DATE,STATION_CODES
3,34.36666666666667,35.03466666666686,48.96666666666667,48.75833333333394,39.766666666666666,41.32533333333371,2004-01-04,0
4,34.0,34.823333333333494,47.56666666666667,45.62366666666733,39.36666666666667,39.18400000000037,2004-01-05,0
5,35.0,35.22666666666681,46.26666666666667,45.435000000000535,39.56666666666666,40.04000000000039,2004-01-06,0
6,36.0,35.06933333333346,45.333333333333336,49.175333333333946,39.86666666666666,41.57733333333371,2004-01-07,0
7,37.0,35.62766666666681,45.333333333333336,48.1500000000006,40.26666666666666,40.94633333333377,2004-01-08,0
8,37.0,35.541000000000174,46.63333333333333,48.58566666666725,40.66666666666666,41.15166666666703,2004-01-09,0
9,37.0,39.604000000000134,47.56666666666667,51.23900000000046,41.33333333333333,43.594000000000285,2004-01-10,0
10,38.699999999999996,36.89266666666679,50.26666666666667,51.33966666666714,43.133333333333326,42.23666666666698,2004-01-11,0
11,39.0,36.53566666666678,51.96666666666667,48.4250000000005,44.033333333333324,42.59766666666702,2004-01-12,0
12,39.300000000000004,38.14733333333348,51.666666666666664,50.11333333333384,44.16666666666665,43.28366666666706,2004-01-13,0
13,39.6,33.301666666666826,48.96666666666667,48.7426666666672,43.53333333333331,39.98233333333369,2004-01-14,0
14,38.0,32.52666666666684,46.96666666666667,44.8273333333339,41.933333333333316,38.597000000000314,2004-01-15,0
15,37.36666666666667,34.934666666666814,45.300000000000004,46.48966666666719,40.533333333333324,39.689333333333614,2004-01-16,0
16,35.03333333333333,36.88866666666681,44.0,48.72000000000044,38.899999999999984,42.74900000000034,2004-01-17,0
17,37.300000000000004,35.408000000000136,44.300000000000004,47.72700000000042,40.09999999999998,41.43333333333362,2004-01-18,0
18,37.63333333333333,34.197666666666834,44.96666666666667,48.96033333333381,40.59999999999997,40.89666666666698,2004-01-19,0
19,37.96666666666667,35.27766666666679,45.6,46.303666666667105,40.89999999999998,40.699666666666964,2004-01-20,0
20,37.300000000000004,34.093333333333455,44.0,49.61533333333366,39.99999999999998,40.65466666666697,2004-01-21,0
21,36.300000000000004,33.10466666666681,45.300000000000004,48.73033333333379,39.766666666666644,41.293000000000305,2004-01-22,0
22,34.63333333333333,33.33300000000017,45.96666666666667,48.7760000000004,39.0333333333333,37.45400000000025,2004-01-23,0
23,32.666666666666664,32.43000000000012,47.56666666666667,44.00966666666708,38.46666666666664,37.40133333333365,2004-01-24,0
24,32.0,30.5156666666668,46.26666666666667,45.230333333333746,37.733333333333306,36.346333333333625,2004-01-25,0
25,32.0,33.237000000000144,44.300000000000004,49.10933333333368,37.03333333333331,41.73933333333359,2004-01-26,0
26,32.666666666666664,33.488000000000135,44.0,47.66866666666708,37.33333333333331,39.74300000000021,2004-01-27,0
